
2024-04-14 18:41:56,558 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:35,258 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:59,744 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:43:56,773 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:45:21,476 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:26,115 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:31,168 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:52:00,256 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:53:25,983 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:56:30,750 - ERROR - Empty DataFrame: No data to process.
2024-04-15 00:09:14,637 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 420.0, End mean: 0.4494222245282597
2024-04-15 00:09:14,678 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 57817.84035966981, End mean: 0.8035150935065072
2024-04-15 00:09:15,403 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 214.8, End mean: 1.1387999773025512
2024-04-15 00:09:19,610 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 14.272034775583368, End mean: 0.5867889456058804
2024-04-15 00:09:26,843 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 308.851006747914, End mean: 0.44499074834950114
2024-04-15 00:09:35,621 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 198.69473587839227, End mean: 0.05405263151777413
2024-04-15 00:09:44,510 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 1487.719298245614, End mean: 0.7963078952672189
2024-04-15 00:09:48,867 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 2.3476022822516307, End mean: 0.07885714226535383
2024-04-15 00:10:09,962 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 26.53557696709266, End mean: 0.10923076951159874
2024-04-15 00:10:09,986 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 127.7509979248047, End mean: 2.71200000445048
2024-04-15 00:10:21,779 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 0.6047419290388784, End mean: 0.027645161285275374
2024-04-15 00:10:21,808 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 76.16838455200195, End mean: 3.240576854118934
2024-04-15 00:10:21,843 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 77.73333304268974, End mean: 1.7910476241792952
2024-04-15 00:10:22,077 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 5675362274.318841, End mean: 6.811594030823207e-05
2024-04-15 00:10:27,528 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 760.8533338758681, End mean: 35.23211114671495
2024-04-15 00:10:29,621 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 2.7288846366720487, End mean: 0.0001762025309704084
2024-04-15 00:10:34,514 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 1250.2777777777778, End mean: 13.047111108567979
2024-04-15 00:10:34,550 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 182.3361280487805, End mean: 0.35406504292798235
